name,references,number_quotes,number_quotes10Y
1,52,182,5
3,85,176,17
4,26,34,5
5,18,27,2
6,59,172,4
7,38,68,12
8,65,127,3
10,24,41,6
11,34,121,17
12,35,52,2
13,29,74,2
15,18,55,11
17,45,74,11
19,28,42,5
20,23,36,1
22,60,92,6
24,46,79,2
25,29,47,3
26,41,114,5
27,49,117,24
28,33,57,10
29,40,65,5
32,37,84,5
33,75,238,17
36,69,118,2
37,54,110,12
39,58,120,9
43,41,56,5
44,41,68,4
46,69,118,3
48,123,219,5
49,24,99,27
52,76,153,3
53,63,145,6
55,82,121,4
56,60,123,3
58,92,143,8
59,87,145,12
61,42,73,2
63,34,71,2
64,107,219,21
65,75,141,8
68,59,92,14
69,73,151,20
71,180,302,20
72,68,131,4
73,39,103,4
77,73,167,29
80,73,138,9
81,52,80,2
82,8,22,1
84,43,108,10
86,63,177,9
87,51,78,2
89,69,123,8
93,87,170,8
94,75,275,44
97,60,91,5
104,10,14,5
106,19,25,1
107,38,55,3
110,23,34,6
111,17,21,1
112,19,22,4
113,10,11,2
114,33,62,20
115,17,19,1
116,13,12,2
117,15,32,3
118,19,39,11
120,28,51,2
121,35,48,5
122,20,31,1
124,10,13,2
127,33,64,30
129,23,30,3
132,10,11,3
133,44,96,47
134,19,37,1
135,29,32,4
136,23,31,5
139,22,34,2
140,33,40,5
142,17,31,4
143,38,44,6
145,38,55,1
146,25,30,3
148,19,23,1
150,16,23,3
151,18,34,12
153,22,32,1
154,28,63,17
155,32,64,6
158,33,44,1
161,20,38,4
165,9,7,1
167,20,28,4
201,79,186,16
202,37,57,3
203,32,58,27
204,165,163,0
205,286,667,166
206,92,10,10
207,233,178,0
208,72,131,26
209,55,97,0
210,92,152,14
211,86,145,0
212,22,67,26
213,16,26,2
214,33,27,0
215,84,171,3
216,65,7,0
217,6,24,13
218,18,40,17
219,64,232,0
220,55,101,0
221,15,28,4
222,20,31,25