Study Num,title,replicate
1,Tracing attention and the activation flow in spoken word planning using eye movements.,0
2,"Now you see it, now you don't: repetition blindness for nonwords",0
3,Working memory costs of task switching.,0
4,Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.,0
5,The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.,0
6,"A single-system account of the relationship between priming, recognition, and fluency.",1
7,Modeling distributions of immediate memory effects: No strategies needed?,0
8,Stereotypes and retrieval-provoked illusory source recollections.,0
10,Across-notation automatic numerical processing.,1
11,Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.,1
12,When does between-sequence phonological similarity promote irrelevant sound disruption?,0
13,Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.,1
15,The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.,1
17,The ultimate sampling dilemma in experience-based decision making.,1
19,How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.,0
20,"Intentional forgetting is easier after two ""shots"" than one.",0
22,How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.,0
24,Priming addition facts with semantic relations.,1
25,Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.,1
26,Contextual effects on reading aloud: Evidence for pathway control.,1
27,On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.,1
28,Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.,0
29,Multidimensional visual statistical learning.,1
32,Accounting for occurrences: A new view of the use of contingency information in causal judgment.,1
33,Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.,1
36,An attention-based associative account of adjacent and nonadjacent dependency learning.,1
37,Orienting attention in visual working memory reduces interference from memory probes.,1
39,Decision making and learning while taking sequential risks.,0
43,The rejection of moral rebels: Resenting those who do the right thing.,0
44,Why do implicit and explicit attitude tests diverge? The role of structural fit.,1
46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",1
48,Terror management and adults' attachment to their parents: The safe haven remains.,0
49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,0
50,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,0
52,Affective incoherence: When affective concepts and embodied reactions clash.,0
53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,0
55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.,0
56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,0
58,Walking on eggshells: How expressing relationship insecurities perpetuates them.,0
59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.,1
61,Poignancy: Mixed emotional experience in the face of meaningful endings.,0
63,1/f noise and effort on implicit measures of bias.,0
64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,0
65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?,0
68,Why people are reluctant to tempt fate.,0
69,The nonverbal expression of pride: Evidence for cross-cultural recognition.,1
71,On the relative independence of thinking biases and cognitive ability.,0
72,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.,0
73,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.,1
77,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.,0
80,The effects of an implemental mind-set on attitude strength.,0
81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.,0
82,The face of success: inferences from chief executive officers' appearance predict company profits.,0
84,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.,1
86,Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.,0
87,The space between us: Stereotype threat and distance in interracial contexts.,0
89,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?,1
93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,0
94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",1
97,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,0
104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0
106,More than meets the eye: the role of language in binding and maintaining feature conjunctions.,0
107,Nonconscious goal pursuit in novel environments: The case of implicit learning.,0
110,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent,0
111,Precision of the anchor influences the amount of adjustment.,1
112,Action dynamics reveal parallel competition in decision making,1
113,Prescribed optimism: Is it right to be wrong about the future?,1
114,Age-related changes in the episodic simulation of future events,1
115,Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?,0
116,Measuring the crowd within: Probabilistic representations within individuals.,1
117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",1
118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0
120,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity,0
121,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry),1
122,The representation of simple ensemble visual features outside the focus of attention,1
124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,0
127,A motion aftereffect from still photographs depicting motion,1
129,The threat of appearing prejudiced and race-based attentional biases.,0
132,Where do we look during potentially offensive behavior?,0
133,Adaptive memory: The comparative value of survival processing.,1
134,"Is happiness having what you want, wanting what you have, or both?",1
135,Implicit attitude generalization occurs immediately; explicit attitude generalization takes time,0
136,The value of believing in free will: Encouraging a belief in determinism increases cheating.,0
139,Auditory change detection: simple sounds are not memorized better than complex sounds,1
140,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.,0
142,Hedonic and instrumental motives in anger regulation.,1
143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0
145,_In_Group Love? and _Out_Group Hate? as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm,1
146,A word-order constraint on phonological activation,0
148,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,0
149,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,0
150,Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field,0
151,With a clean conscience: Cleanliness reduces the severity of moral judgments.,0
153,Extremal edge: a powerful cue to depth perception and figure-ground organization,0
154,What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness,1
155,Personality dominance and preferential use of the vertical dimension of space,0
158,Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.,1
161,Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.,0
165,The value heuristic in judgments of relative frequency.,0
167,"Head up, foot down: Object words orient attention to the objects' typical location.",0
